loan_id,Success,Amount（log),education,success records,credit limit(log),credit report,length,valid characters,ratio of valid characters ,periods,ratio of complex words,theme 1,theme 2,theme 3,theme 4
547375,1,4.6020599913279625,1,1,0,1,182,129,0.70879120879120883,2.8301900000000001E-2,9.4339599999999999E-3,3.27868852459016E-3,3.27868852459016E-3,0.98688524590163895,3.27868852459016E-3
547607,1,4.1461280356782382,2,1,0,1,24,17,0.70833333333333337,5.8823500000000001E-2,0,0.992523364485981,1.8691588785046699E-3,1.8691588785046699E-3,1.8691588785046699E-3
547631,1,4.0413926851582254,3,2,0,1,26,17,0.65384615384615385,0.26666699999999999,0,0.99526627218934904,1.18343195266272E-3,1.18343195266272E-3,1.18343195266272E-3
558939,1,4.7474118078864231,2,1,0,1,182,129,0.70879120879120883,2.8301900000000001E-2,9.4339599999999999E-3,0.99526627218934904,1.18343195266272E-3,1.18343195266272E-3,1.18343195266272E-3
559115,1,4.7781512503836439,2,1,0,1,182,129,0.70879120879120883,2.8301900000000001E-2,9.4339599999999999E-3,0.99526627218934904,1.18343195266272E-3,1.18343195266272E-3,1.18343195266272E-3
559229,1,3.8573324964312685,3,2,0,1,24,16,0.66666666666666663,6.6666699999999995E-2,0,0.98343195266272199,1.18343195266272E-3,1.30177514792899E-2,1.18343195266272E-3
559277,1,4.7951845896824237,4,1,0,1,182,129,0.70879120879120883,2.8301900000000001E-2,9.4339599999999999E-3,0.99526627218934904,1.18343195266272E-3,1.18343195266272E-3,1.18343195266272E-3
559300,1,4.6020599913279625,1,1,0,1,182,129,0.70879120879120883,2.8301900000000001E-2,9.4339599999999999E-3,0.99526627218934904,1.18343195266272E-3,1.18343195266272E-3,1.18343195266272E-3
559339,1,4.6989700043360187,3,1,0,1,182,129,0.70879120879120883,2.8301900000000001E-2,9.4339599999999999E-3,0.992523364485981,1.8691588785046699E-3,1.8691588785046699E-3,1.8691588785046699E-3
559428,1,4.6020599913279625,3,1,0,1,182,129,0.70879120879120883,2.8301900000000001E-2,9.4339599999999999E-3,0.992523364485981,1.8691588785046699E-3,1.8691588785046699E-3,1.8691588785046699E-3
559486,1,3.6989700043360187,4,1,0,1,35,24,0.68571428571428572,0,0,0.992523364485981,1.8691588785046699E-3,1.8691588785046699E-3,1.8691588785046699E-3
559528,1,4.6693168805661118,2,1,0,1,182,129,0.70879120879120883,2.8301900000000001E-2,9.4339599999999999E-3,3.1746031746031698E-3,3.1746031746031698E-3,0.32063492063492,0.63809523809523805
559903,1,4.4771212547196626,3,1,0,1,33,23,0.69696969696969702,0,5.2631600000000001E-2,3.27868852459016E-3,3.27868852459016E-3,0.98688524590163895,3.27868852459016E-3
559919,1,4.2552725051033065,2,2,0,1,42,22,0.52380952380952384,3.5714299999999997E-2,0,3.1746031746031698E-3,3.1746031746031698E-3,0.95555555555555505,3.1746031746031698E-3
560139,1,4.6901960800285138,2,1,0,1,45,27,0.6,0,0,2.9850746268656699E-3,2.9850746268656699E-3,0.98805970149253697,2.9850746268656699E-3
560180,1,4.3222192947339195,1,1,0,1,392,195,0.49744897959183676,2.1186400000000001E-2,1.6949200000000001E-2,3.27868852459016E-3,3.27868852459016E-3,0.98688524590163895,3.27868852459016E-3
560262,1,4.8450980400142569,3,1,0,0,25,20,0.8,0,0,3.27868852459016E-3,3.27868852459016E-3,0.98688524590163895,3.27868852459016E-3
